frame,delta_frames,tick_cycles,physics_cycles,render_cycles,practice_ui_cycles,physics_setup,physics_core,physics_practice,render_setup,render_visibility,render_bg,render_actors,render_hud,render_practice,tlb_loads,tlb_cycles,tlb_dma_cycles,tlb_icache_cycles
128,3,603639,108893,426365,0,5405,98419,0,54769,216753,51796,24710,77222,0,0,0,0,0
129,3,597265,115623,416876,0,5513,104974,0,53165,228312,34577,24729,74961,0,0,0,0,0
130,2,588028,107605,410357,0,5571,96848,0,54564,206365,36572,32910,78854,0,0,0,0,0
131,2,589374,118626,404672,0,5546,107820,0,52904,216466,34999,24337,74834,0,0,0,0,0
132,3,594684,113575,412949,0,5481,102948,0,54691,207773,46265,24414,78712,0,0,0,0,0
133,2,679481,127392,478249,0,5524,116744,0,53182,281120,35585,32919,74309,0,0,0,0,0
134,2,620771,115007,437358,0,5438,104275,0,54681,226397,45549,32621,77016,0,0,0,0,0
135,2,595498,117106,413821,0,5513,106397,0,53087,217518,35059,32885,74142,0,0,0,0,0
136,3,873760,110497,694035,0,5478,99710,0,54663,239908,44352,262586,91285,0,1,84343,80765,2258
137,4,787459,106714,616090,0,5472,96177,0,52919,279645,32580,171297,78435,0,1,90229,86288,2258
138,3,989657,298334,625951,0,5438,287737,0,54866,287671,34238,164763,83282,0,3,262464,251538,6771
139,4,644536,110921,459177,0,5524,100463,0,52756,241295,33193,33136,97642,0,0,0,0,0
140,3,577920,109778,398639,0,5491,99189,0,54811,198873,34073,32878,76890,0,0,0,0,0
141,3,567352,114993,387230,0,5546,104447,0,53163,183509,32394,32871,84164,0,0,0,0,0
142,4,628082,107344,450366,0,5405,96929,0,54888,236830,34312,41902,81321,0,0,0,0,0
143,3,565792,114743,385350,0,5429,104267,0,53220,184102,32455,39265,75133,0,0,0,0,0
144,3,596274,117928,413449,0,5470,107179,0,54847,197956,33694,39155,86683,0,0,0,0,0
145,3,673158,127876,452265,0,5546,117240,0,53103,253587,33091,36677,74632,0,0,0,0,0
146,3,580989,131200,383850,0,5405,120816,0,54517,190983,33606,24938,78591,0,0,0,0,0
147,2,584721,137032,383064,0,5461,126424,0,53349,187060,32569,24857,84120,0,0,0,0,0
148,3,692617,167916,457456,0,5373,157517,0,62194,228187,34250,31819,99876,0,0,0,0,0
149,4,630339,157285,408047,0,12618,139433,0,53066,214704,33141,31548,74413,0,0,0,0,0
150,3,1060962,205348,790891,0,5416,194558,0,54807,231741,206780,215344,81021,0,0,0,0,0
151,4,742543,168488,510030,0,5546,157995,0,52905,302446,35098,43394,75039,0,0,0,0,0
152,3,722444,148497,503091,0,5458,137835,0,54632,275242,37115,32393,102573,0,0,0,0,0
153,3,633470,143510,419098,0,5844,132180,0,52895,222068,35710,32735,74536,0,0,0,0,0
154,3,718334,160722,492793,0,5491,150088,0,54872,267951,37022,49946,81889,0,0,0,0,0
155,3,716785,154532,490504,0,5439,143993,0,52660,259631,35539,39338,102165,0,0,0,0,0
156,3,857786,156907,628295,0,5498,146095,0,54581,228422,36779,38602,268742,0,0,0,0,0
157,3,728254,188994,474536,0,5441,178358,0,53295,263530,35495,45989,75012,0,0,0,0,0
158,3,666299,164962,435347,0,5490,154360,0,54580,210795,34862,32913,101006,0,0,0,0,0
159,2,581635,123639,390976,0,5524,113007,0,53180,196754,32549,33392,73969,0,0,0,0,0
160,3,969244,123689,780122,0,5438,113137,0,55107,245847,175854,43092,259033,0,0,0,0,0
161,3,639069,107829,464165,0,5514,97438,0,53009,225793,42480,39294,102393,0,0,0,0,0
162,4,619403,113519,437478,0,5491,102949,0,62383,211274,49945,31285,81435,0,0,0,0,0
163,3,607228,127190,415824,0,7792,114432,0,53282,213015,48675,24937,74760,0,0,0,0,0
164,4,594867,118771,411725,0,5405,108145,0,55386,194481,50258,32600,77887,0,0,0,0,0
165,2,601278,134302,397283,0,5481,123906,0,61299,179639,54871,24643,75592,0,0,0,0,0
166,3,616517,159437,393273,0,5632,146585,0,55071,178299,56080,24823,77865,0,0,0,0,0
167,3,649735,184805,400346,0,5524,174239,0,53462,188105,58468,24603,74552,0,0,0,0,0
168,3,575855,135718,372251,0,5373,125160,0,55071,162443,52104,24417,77122,0,0,0,0,0
169,3,567016,127418,374465,0,5546,116812,0,53336,168075,44028,24453,83418,0,0,0,0,0
